# dim  N   mc   rho  Brute 
# 2    2 262394 1
#
# Theoretical Energy = 2.000000e+00
# Energy     Variance     CPU time     Acceptance
3.222124e+00 4.630834e-05 1.022808e+00 8.633343e-01
3.216910e+00 4.730430e-05 9.595580e-01 8.621863e-01
3.225674e+00 4.718890e-05 1.009204e+00 8.627512e-01
3.211150e+00 4.535035e-05 1.003830e+00 8.623006e-01
3.208292e+00 5.189815e-05 9.554140e-01 8.625502e-01
3.226450e+00 4.621685e-05 9.004360e-01 8.631524e-01
3.220306e+00 4.667962e-05 9.398560e-01 8.623749e-01
3.232777e+00 4.645150e-05 9.157630e-01 8.630704e-01
3.226372e+00 4.993403e-05 8.825020e-01 8.623396e-01
3.220146e+00 4.967318e-05 9.331840e-01 8.626941e-01
3.212424e+00 4.906885e-05 9.327760e-01 8.624492e-01
3.220313e+00 4.770521e-05 8.743790e-01 8.629952e-01
3.217100e+00 4.554293e-05 8.987260e-01 8.621243e-01
3.224328e+00 4.646810e-05 1.025792e+00 8.630904e-01
3.224266e+00 5.277838e-05 9.762540e-01 8.627017e-01
3.216166e+00 4.504909e-05 9.612730e-01 8.631343e-01
3.211891e+00 4.641643e-05 8.878270e-01 8.625759e-01
3.207156e+00 4.715266e-05 9.860080e-01 8.621948e-01
3.233823e+00 2.435528e-04 1.002407e+00 8.629809e-01
3.206230e+00 4.579869e-05 1.004764e+00 8.622368e-01
3.215235e+00 4.544431e-05 9.610000e-01 8.622853e-01
3.206839e+00 4.532799e-05 9.407850e-01 8.626598e-01
3.208473e+00 4.833921e-05 1.010407e+00 8.625397e-01
3.211661e+00 4.573100e-05 9.642130e-01 8.621863e-01
3.226387e+00 4.955876e-05 1.004121e+00 8.622434e-01
3.212572e+00 4.618068e-05 9.240570e-01 8.623454e-01
3.213071e+00 4.644434e-05 1.037488e+00 8.627951e-01
3.203998e+00 4.501193e-05 1.007273e+00 8.625131e-01
3.212734e+00 4.494489e-05 9.697570e-01 8.626445e-01
3.220502e+00 4.765818e-05 1.017921e+00 8.632324e-01
3.218482e+00 4.586623e-05 9.656690e-01 8.622120e-01
3.216187e+00 5.492061e-05 9.606360e-01 8.628703e-01
3.218030e+00 5.017952e-05 1.032739e+00 8.622749e-01
3.206767e+00 4.546550e-05 1.004538e+00 8.624425e-01
3.216138e+00 5.251287e-05 1.050404e+00 8.626817e-01
3.212444e+00 4.590536e-05 9.356090e-01 8.635506e-01
3.222514e+00 5.105324e-05 9.423890e-01 8.627493e-01
3.212496e+00 4.765430e-05 9.936250e-01 8.634172e-01
3.210817e+00 4.519966e-05 9.709650e-01 8.627503e-01
3.222742e+00 4.592439e-05 9.955010e-01 8.631581e-01
3.204273e+00 4.460457e-05 9.559530e-01 8.626360e-01
3.206276e+00 4.583999e-05 9.892440e-01 8.619852e-01
3.210882e+00 4.538078e-05 1.049403e+00 8.631600e-01
3.211027e+00 4.750900e-05 9.940230e-01 8.624102e-01
3.216984e+00 4.691630e-05 9.854780e-01 8.631190e-01
3.214961e+00 5.084691e-05 9.427470e-01 8.631619e-01
3.220718e+00 4.788606e-05 1.019727e+00 8.632581e-01
3.221818e+00 2.788912e-04 9.908330e-01 8.625702e-01
3.204051e+00 4.606920e-05 9.971740e-01 8.625826e-01
3.210838e+00 4.609050e-05 9.581860e-01 8.622577e-01
3.221505e+00 7.548817e-05 9.642660e-01 8.623739e-01
3.228276e+00 4.828605e-05 1.013621e+00 8.631409e-01
3.206718e+00 4.668161e-05 1.033211e+00 8.624664e-01
3.207787e+00 4.551567e-05 9.471280e-01 8.633305e-01
3.216602e+00 4.676592e-05 9.405820e-01 8.623568e-01
3.226320e+00 5.901772e-05 9.921370e-01 8.632009e-01
3.214990e+00 4.849214e-05 1.006141e+00 8.627570e-01
3.207349e+00 5.706172e-05 9.582800e-01 8.628599e-01
3.214482e+00 4.777142e-05 1.012655e+00 8.625045e-01
3.206806e+00 4.615010e-05 9.486870e-01 8.623063e-01
3.210497e+00 4.788850e-05 9.873860e-01 8.629542e-01
3.214795e+00 4.572021e-05 9.888380e-01 8.631409e-01
3.221738e+00 4.743940e-05 9.566670e-01 8.634858e-01
3.209266e+00 4.666779e-05 9.805070e-01 8.630094e-01
3.220019e+00 6.631336e-05 1.030477e+00 8.619128e-01
3.202386e+00 4.411991e-05 9.628890e-01 8.628761e-01
3.223013e+00 6.259706e-05 9.781100e-01 8.625940e-01
3.216693e+00 4.828096e-05 1.030267e+00 8.638260e-01
3.195455e+00 4.720316e-05 9.323400e-01 8.629837e-01
3.206504e+00 4.625227e-05 9.665900e-01 8.629913e-01
